,candidates,winner,time,left,right
0,"(57, 51)",57,12:32:09,57,51
1,"(45, 69)",45,12:32:18,45,69
2,"(29, 93)",93,12:32:26,29,93
3,"(1, 67)",1,12:32:38,1,67
4,"(20, 27)",20,12:32:49,20,27
5,"(42, 8)",8,12:33:07,42,8
6,"(86, 89)",86,12:34:13,86,89
7,"(83, 48)",83,12:34:19,83,48
8,"(63, 3)",63,12:34:27,63,3
9,"(62, 11)",62,12:34:40,62,11
10,"(31, 44)",31,12:34:46,31,44
11,"(37, 90)",90,12:34:49,37,90
12,"(68, 18)",18,12:35:09,68,18
13,"(71, 7)",71,12:35:19,71,7
14,"(91, 49)",91,12:35:28,91,49
15,"(32, 70)",32,12:35:39,32,70
16,"(50, 25)",50,12:35:47,50,25
17,"(34, 28)",28,12:36:11,34,28
18,"(54, 61)",54,12:36:23,54,61
19,"(13, 47)",13,12:36:23,13,47
20,"(78, 9)",9,12:36:36,78,9
21,"(92, 87)",92,12:36:38,92,87
22,"(19, 53)",53,12:36:41,19,53
23,"(33, 77)",77,12:36:45,33,77
24,"(6, 12)",12,12:36:57,6,12
25,"(84, 80)",80,12:37:05,84,80
26,"(38, 36)",38,12:37:17,38,36
27,"(16, 75)",16,12:37:26,16,75
28,"(85, 26)",26,12:37:50,85,26
29,"(82, 22)",82,12:37:59,82,22
30,"(72, 56)",72,12:38:08,72,56
31,"(79, 0)",0,12:38:33,79,0
32,"(15, 73)",15,12:38:40,15,73
33,"(66, 65)",66,12:38:52,66,65
34,"(64, 58)",64,12:39:15,64,58
35,"(52, 21)",21,12:39:25,52,21
36,"(40, 55)",55,12:39:31,40,55
37,"(23, 17)",23,12:39:36,23,17
38,"(24, 46)",46,12:39:46,24,46
39,"(10, 88)",10,12:39:58,10,88
40,"(43, 39)",39,12:40:24,43,39
41,"(74, 81)",81,12:40:36,74,81
42,"(41, 14)",14,12:41:03,41,14
43,"(2, 59)",2,12:41:12,2,59
44,"(35, 4)",4,12:41:25,35,4
45,"(30, 5)",5,12:41:29,30,5
46,"(76, 60)",60,12:41:40,76,60
47,"(32, 93)",93,12:42:24,32,93
48,"(68, 21)",21,12:42:36,68,21
49,"(87, 45)",87,12:42:41,87,45
50,"(89, 31)",31,12:42:44,89,31
51,"(72, 74)",74,12:42:48,72,74
52,"(91, 34)",91,12:42:54,91,34
53,"(29, 35)",29,12:43:13,29,35
54,"(86, 53)",53,12:43:16,86,53
55,"(22, 75)",22,12:43:22,22,75
56,"(1, 58)",1,12:43:28,1,58
57,"(20, 49)",49,12:43:34,20,49
58,"(43, 33)",43,12:43:38,43,33
59,"(41, 92)",92,12:43:52,41,92
60,"(70, 16)",16,12:43:56,70,16
61,"(37, 6)",6,12:44:05,37,6
62,"(82, 11)",82,12:44:14,82,11
63,"(36, 46)",46,12:44:19,36,46
64,"(26, 47)",26,12:44:26,26,47
65,"(23, 30)",23,12:44:32,23,30
66,"(76, 7)",7,12:44:43,76,7
67,"(8, 51)",8,12:44:56,8,51
68,"(71, 62)",71,12:45:01,71,62
69,"(67, 24)",67,12:45:08,67,24
70,"(50, 79)",50,12:45:15,50,79
71,"(80, 5)",5,12:45:20,80,5
72,"(10, 27)",10,12:45:47,10,27
73,"(4, 78)",4,12:45:52,4,78
74,"(83, 12)",83,12:46:02,83,12
75,"(38, 60)",38,12:46:08,38,60
76,"(40, 77)",77,12:46:37,40,77
77,"(0, 17)",0,12:46:40,0,17
78,"(9, 54)",54,12:46:44,9,54
79,"(44, 52)",44,12:46:51,44,52
80,"(2, 69)",69,12:49:23,2,69
81,"(84, 3)",3,12:49:27,84,3
82,"(81, 66)",66,12:49:32,81,66
83,"(28, 25)",25,12:49:42,28,25
84,"(85, 64)",64,12:49:50,85,64
85,"(61, 63)",63,12:50:31,61,63
86,"(59, 57)",57,12:50:34,59,57
87,"(56, 39)",56,12:50:39,56,39
88,"(90, 73)",90,12:50:42,90,73
89,"(14, 65)",14,12:50:48,14,65
90,"(42, 19)",19,12:50:55,42,19
91,"(55, 15)",55,12:51:06,55,15
92,"(48, 13)",48,12:51:25,48,13
93,"(88, 18)",18,12:51:29,88,18
94,"(3, 79)",3,12:51:48,3,79
95,"(68, 30)",68,12:51:50,68,30
96,"(84, 12)",12,12:51:51,84,12
97,"(83, 45)",45,12:52:06,83,45
