,Agreement Percentage,Cohens Kappa,Rank correlation
Casomoto-94,0.8085106382978723,0.6174542165950712,0.80128
__gpt-4-1106-preview_old,0.8031914893617021,0.6191414805081035,0.78453
__Gold15,1.0,1.0,1.0
Rater5-94,0.7845744680851063,0.5698365842290363,0.73652
Rater2-94,0.8085106382978723,0.6174542165950712,0.75202
__Links-94,0.4787234042553192,0.3053838033479113,-0.04703
Peter-94,0.773936170212766,0.5482877051149775,0.70549
__Rechts-94,0.5212765957446809,0.3620871663399186,0.04703
Rater4-94,0.8324468085106383,0.665994557324347,0.80199
Rater3-94,0.8377659574468085,0.6765979047108756,0.80615
Kaffeetrinker-94,0.7845744680851063,0.5705644308455887,0.70104
ArthMa-94,0.7659574468085106,0.534470144633913,0.73578
ghost-94,0.7952127659574468,0.5912639588892182,0.74053
DisRating-94,0.8430851063829787,0.6865648445116351,0.83969
aab-94,0.7686170212765957,0.5387543886860027,0.75095
Rater1-94,0.8856382978723404,0.7715642087118696,0.86052
Power-94,0.6861702127659575,0.3737932591881669,0.50696
vikoooy-94,0.824468085106383,0.6492735598394483,0.82203
Rater6-94,0.824468085106383,0.6492735598394483,0.77936
