,candidates,winner,time,left,right
0,"(57, 51)",57,12:19:20,57,51
1,"(45, 69)",69,12:19:25,45,69
2,"(29, 93)",93,12:19:34,29,93
3,"(1, 67)",1,12:19:49,1,67
4,"(20, 27)",20,12:19:56,20,27
5,"(42, 8)",8,12:20:00,42,8
6,"(86, 89)",89,12:20:03,86,89
7,"(83, 48)",83,12:20:19,83,48
8,"(63, 3)",63,12:20:23,63,3
9,"(62, 11)",11,12:20:28,62,11
10,"(31, 44)",31,12:20:33,31,44
11,"(37, 90)",90,12:20:36,37,90
12,"(68, 18)",18,12:20:47,68,18
13,"(71, 7)",7,12:20:54,71,7
14,"(91, 49)",49,12:21:00,91,49
15,"(32, 70)",32,12:21:03,32,70
16,"(50, 25)",50,12:21:08,50,25
17,"(34, 28)",34,12:21:15,34,28
18,"(54, 61)",61,12:21:34,54,61
19,"(13, 47)",13,12:21:50,13,47
20,"(78, 9)",78,12:21:55,78,9
21,"(92, 87)",92,12:21:59,92,87
22,"(19, 53)",19,12:22:12,19,53
23,"(33, 77)",33,12:22:23,33,77
24,"(6, 12)",12,12:22:29,6,12
25,"(84, 80)",80,12:22:35,84,80
26,"(38, 36)",36,12:22:43,38,36
27,"(16, 75)",75,12:23:05,16,75
28,"(85, 26)",85,12:23:15,85,26
29,"(82, 22)",82,12:23:22,82,22
30,"(72, 56)",56,12:23:32,72,56
31,"(79, 0)",79,12:23:56,79,0
32,"(15, 73)",15,12:24:01,15,73
33,"(66, 65)",65,12:24:13,66,65
34,"(64, 58)",64,12:24:43,64,58
35,"(52, 21)",21,12:24:56,52,21
36,"(40, 55)",55,12:25:05,40,55
37,"(23, 17)",23,12:25:08,23,17
38,"(24, 46)",46,12:25:15,24,46
39,"(10, 88)",10,12:25:28,10,88
40,"(43, 39)",39,12:25:33,43,39
41,"(74, 81)",81,12:25:45,74,81
42,"(41, 14)",14,12:26:13,41,14
43,"(2, 59)",59,12:26:23,2,59
44,"(35, 4)",4,12:26:38,35,4
45,"(30, 5)",5,12:26:54,30,5
46,"(76, 60)",60,12:27:06,76,60
47,"(32, 93)",93,12:27:15,32,93
48,"(68, 21)",21,12:27:22,68,21
49,"(87, 45)",45,12:27:26,87,45
50,"(89, 31)",31,12:27:39,89,31
51,"(72, 74)",74,12:27:51,72,74
52,"(91, 34)",34,12:27:58,91,34
53,"(29, 35)",29,12:28:11,29,35
54,"(86, 53)",53,12:28:18,86,53
55,"(22, 75)",75,12:28:25,22,75
56,"(1, 58)",1,12:28:35,1,58
57,"(20, 49)",49,12:28:46,20,49
58,"(43, 33)",43,12:29:03,43,33
59,"(41, 92)",92,12:30:33,41,92
60,"(70, 16)",16,12:30:37,70,16
61,"(37, 6)",6,12:30:42,37,6
62,"(82, 11)",82,12:30:53,82,11
63,"(36, 46)",36,12:30:59,36,46
64,"(26, 47)",47,12:31:09,26,47
65,"(23, 30)",30,12:31:12,23,30
66,"(76, 7)",7,12:31:15,76,7
67,"(8, 51)",8,12:31:22,8,51
68,"(71, 62)",71,12:31:30,71,62
69,"(67, 24)",67,12:31:36,67,24
70,"(50, 79)",50,12:31:44,50,79
71,"(80, 5)",80,12:31:48,80,5
72,"(10, 27)",27,12:31:54,10,27
73,"(4, 78)",4,12:32:12,4,78
74,"(83, 12)",83,12:32:19,83,12
75,"(38, 60)",60,12:32:25,38,60
76,"(40, 77)",77,12:32:30,40,77
77,"(0, 17)",0,12:32:32,0,17
78,"(9, 54)",54,12:32:38,9,54
79,"(44, 52)",44,12:32:43,44,52
80,"(2, 69)",69,12:32:45,2,69
81,"(84, 3)",3,12:32:47,84,3
82,"(81, 66)",81,12:32:52,81,66
83,"(28, 25)",28,12:33:06,28,25
84,"(85, 64)",64,12:33:12,85,64
85,"(61, 63)",61,12:33:29,61,63
86,"(59, 57)",57,12:33:38,59,57
87,"(56, 39)",39,12:33:43,56,39
88,"(90, 73)",90,12:33:49,90,73
89,"(14, 65)",65,12:34:03,14,65
90,"(42, 19)",19,12:34:10,42,19
91,"(55, 15)",55,12:34:17,55,15
92,"(48, 13)",13,12:34:23,48,13
93,"(88, 18)",18,12:34:31,88,18
94,"(3, 79)",79,12:34:38,3,79
95,"(68, 30)",30,12:34:45,68,30
96,"(84, 12)",12,12:34:48,84,12
97,"(83, 45)",83,12:34:54,83,45
98,"(24, 5)",5,12:35:11,24,5
99,"(35, 11)",35,12:35:21,35,11
100,"(90, 47)",90,12:35:33,90,47
101,"(81, 64)",64,12:35:43,81,64
102,"(53, 91)",53,12:35:48,53,91
103,"(21, 22)",22,12:35:58,21,22
104,"(66, 19)",19,12:36:02,66,19
105,"(55, 78)",55,12:36:13,55,78
106,"(74, 4)",4,12:36:22,74,4
107,"(61, 6)",61,12:36:30,61,6
108,"(59, 43)",59,12:36:40,59,43
109,"(85, 40)",40,12:36:49,85,40
110,"(87, 38)",38,12:36:56,87,38
111,"(42, 76)",42,12:37:09,42,76
112,"(20, 51)",20,12:37:18,20,51
113,"(56, 44)",44,12:37:28,56,44
114,"(50, 18)",18,12:37:38,50,18
115,"(49, 46)",49,12:37:45,49,46
116,"(93, 86)",93,12:37:51,93,86
117,"(63, 58)",58,12:38:04,63,58
118,"(25, 23)",25,12:38:08,25,23
119,"(26, 73)",26,12:38:16,26,73
120,"(15, 8)",8,12:38:23,15,8
121,"(13, 77)",13,12:38:35,13,77
122,"(33, 52)",52,12:38:41,33,52
123,"(7, 69)",7,12:38:52,7,69
124,"(9, 48)",48,12:38:58,9,48
125,"(36, 70)",36,12:39:03,36,70
126,"(16, 88)",88,12:39:10,16,88
127,"(28, 89)",28,12:39:21,28,89
128,"(57, 71)",71,12:39:44,57,71
129,"(54, 10)",10,12:39:48,54,10
130,"(14, 92)",92,12:39:58,14,92
