,Score,Text
0,0.25157,"It was a small and disorganized depression, and it never became a tropical storm, which is stronger than a tropical depression.
"
1,0.61006,"According to an early review by website iFixIt, the new Kindle 2 features a 532 MHz 90 nm processor, 2GB main memory, and 1530 mAh lithium polymer battery.
"
2,0.05031,"The Federal Deposit Insurance Corporation (FDIC) aims to keep people's money safe.
"
3,0.08805,"The filling has mashed sweet potatoes, milk, sugar, eggs, and flavoring.
"
4,0.18239,"Born in 1951, Lightning Bar was bred to be a racehorse. Injuries and illnesses kept him from racing past the age of two.
"
5,0.23899,"The drug also allows more time before a patient needs breathing help.
"
6,0.63522,"The whole structure is attached to the frenulum clitoridis and clitoral body (which is internal).
"
7,0.57862,"A similar situation occurs with pesticide resistance in plants and insects, and with malarial resistance to quinine.
"
8,0.13208,"He is best known for voicing Space Ghost on the Adult Swim program Space Ghost: Coast to Coast. He also voices Brak's Dad on The Brak Show.
"
9,0.46541,"Athletes, gymnasts, dancers, and martial artists perform stretching exercises to lengthen their ligaments, making their joints more supple.
"
10,0.34591,"Parasitic wasps are increasingly used in agricultural pest control as they prey mostly on pest insects and have little impact on crops.
"
11,0.5283,"Today, we know that the ""transforming principle"" Griffith saw was the DNA of the III-S strain bacteria.
"
12,0.20755,"The coconut flavor comes from the coconut cream between the layers of the cake. Coconut cream is made from the liquid that is on the surface of coconut milk.
"
13,0.28931,"Because of this, lithium must be stored in petroleum jelly.
"
14,0.01887,"White chocolate does not have any cocoa in it.
"
15,0.62264,"The governor of the state in which the disaster occurred must declare a state of emergency and formally request from the President that FEMA and the federal government respond to the disaster.
"
16,0.25786,"Dolomite is the name of a sedimentary carbonate rock and a mineral, both composed of calcium magnesium carbonate CaMg(CO3)2 found in crystals.
"
17,0.0,"Byrd Station was opened again in 2009-2010. This was to support operations in northern West Antarctica.
"
18,0.33962,"When someone is sprayed with pepper spray, their eyes will close and they will have difficulty breathing, a runny nose, and cough.
"
19,0.1761,"Puppeteers usually control the Muppet with one hand in the head and the other hand controls the Muppets arms.
"
20,0.27044,"JVL received awards from Britannica Internet Guide Selection, USA Today Hot Site, and the Best of the Jewish Web from the Jewish Agency for Israel, the Academic Excellence Award from Study Web and others.
"
21,0.44654,"Instead, the left heart fails to pump blood efficiently, leading to pooling of blood in the lungs.
"
22,0.66038,"Precapillary sphincters are rings of smooth muscles at the origin of true capillaries that regulate blood flow into true capillaries and thus control blood flow through a tissue.
"
23,0.84906,"A mycorrhiza (Gk.,: fungus roots, pl mycorrhizae, mycorrhizas) is a symbiotic (generally mutualistic, but occasionally weakly pathogenic) association between a fungus and the roots of a vascular plant.
"
24,0.41509,"In the West, learning by ear is associated with traditional and folk music, but many classical music forms throughout the world lack notation, and have therefore been passed from generation to generation by ear.
"
25,0.79245,"Leukemia (American English) or leukaemia (British English) is a type of cancer of the blood or bone marrow characterized by an abnormal increase of white blood cells. Leukemia is a broad term covering a spectrum of diseases.
"
26,0.64151,"Dirt and sweat from a person's neck and wrists would stick to the starch rather than to the fibers of the clothing, and would easily wash away along with the starch.
"
27,0.74843,"This is an example of what is known as an evolutionary arms race, in which bacteria continue to develop strains that are less susceptible to antibiotics, while medical researchers continue to develop new antibiotics that can kill them.
"
28,0.20126,"It is usually made as a large tart in an open pie shell without a top crust.
"
29,0.32704,"In other countries, such as the United Kingdom, Germany, and India, the MD is an advanced academic research degree similar to a PhD or a higher doctorate.
"
30,0.58491,"The German professor Wilhelm Fabry believed that breast cancer was caused by a milk clot in a mammary duct.
"
31,0.65409,"Hypertension (HTN) or high blood pressure is a cardiac chronic medical condition in which the systemic arterial blood pressure is elevated.
"
32,0.30818,"The middle layer is called the myocardium and is composed of muscle which contracts.
"
33,0.45283,"Algae lack the various structures that characterize land plants, such as phyllids (leaves) and rhizoids in nonvascular plants, or leaves, roots, and other organs that are found in tracheophytes (vascular plants).
"
34,0.61635,"The upper side of the fore wings is dark brownish-black sometimes having a patch of orange. The hind wing is orange with a broad dark brownish-black band surrounding the orange area completely.
"
35,0.96855,"For the best-fit ""snowman"" model, the density is found to be 1.8 ± 0.2 g/cm, giving a porosity of the order of 20%, and possibly indicating that the main components are fractured solid bodies, but that the asteroid is rather not a rubble pile.
"
36,0.74214,"He was immediately arrested by waiting members of the Long Beach Police Department; when asked by a reporter why he had done it, Walters replied, ""A man can't just sit around.""
"
37,0.81132,"The Dutch professor Francois de la Boe Sylvius, a follower of Descartes, believed that all disease was the outcome of chemical processes, and that acidic lymph fluid was the cause of cancer.
"
38,0.75472,"The granules of certain cells, such as natural killer cells, contain components which can lead to the lysis of neighboring cells.
"
39,0.11321,"Ashland Coal, Inc. was formed in 1975 as a subsidiary of Ashland Oil. The privately held Arch Mineral Corporation merged with Ashland Coal, Inc. in July 1997, creating the present-day company.
"
40,0.53459,"Civil partnership allows same-sex couples to get legal recognition of their relationship under the Civil Partnership Act 2004.
"
